id_order_line,id_order,date_opended,date_created,m_quantity,m_unit_price,m_unit_price_exc_vat,m_total_price_inc_vat,m_total_price_exc_vat,m_tax_percent,m_discount_amount,dim_type,dim_category,dim_name,dim_status,dim_category_translated,dim_name_translated,categories
36303668,7901432,2017-04-29 20:38:13,2017-04-29 20:38:13,1,0,0,0,0,0.2,0,OPTION,Martini 15 cl,Gin,WAITING,Martini 15 cl,Gin,Other Alcholic Drinks
160656467,35669117,2018-07-18 12:55:12,2018-07-18 13:09:03,1,0,0,0,0,0.1,0,PRODUCT,WRAP DE SARRASIN,NYC,WAITING,BUCKWHEAT WRAP,NYC,Appetizers
127895661,27274572,2018-04-27 10:44:45,2018-04-27 10:49:04,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
124934060,26512568,2018-04-19 10:35:06,2018-04-19 10:35:20,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
83606925,16715607,2017-11-24 12:35:38,2017-11-24 12:36:19,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
95576855,19444662,2018-01-17 11:34:34,2018-01-17 11:34:43,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
122765839,25968886,2018-04-13 12:19:31,2018-04-13 12:21:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
125356289,26620740,2018-04-20 10:32:37,2018-04-20 10:32:45,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
101489716,20819250,2018-02-07 11:33:17,2018-02-07 11:38:27,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
84390706,16892571,2017-11-28 11:56:39,2017-11-28 11:56:45,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
106488507,21984050,2018-02-23 12:23:44,2018-02-23 12:25:02,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
114793266,24024324,2018-03-22 11:53:50,2018-03-22 11:57:13,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
127947863,27286723,2018-04-27 11:32:44,2018-04-27 11:32:53,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
111820102,23298891,2018-03-13 12:12:33,2018-03-13 12:12:41,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
92274868,18680419,2018-01-04 11:57:01,2018-01-04 11:57:10,1,0,0,0,0,0.1,0,PRODUCT,BREIZH'N'ROLL,NYC,IN_PROGRESS,BREIZH&#39;N&#39;ROLL,NYC,Desserts
