id_order,id_store,id_waiter,id_device,date_opened,date_closed,dim_status,dim_source,m_nb_customer,m_cached_payed,m_cached_price
112572333,7786,24920.0,14854.0,2020-01-12 16:03:02,2020-01-12 16:03:13,CLOSED,Tiller order,1,11.9,11.9
112912195,6830,12894.0,13026.0,2020-01-14 22:06:18,2020-01-14 22:08:10,CLOSED,Tiller iPAD,4,61.1,61.1
113129706,8291,16823.0,15760.0,2020-01-16 11:11:02,2020-01-16 11:11:30,CLOSED,Tiller order,1,11.7,11.7
79969209,351,461.0,128.0,2019-06-29 17:03:54,2019-06-29 18:22:21,CLOSED,Tiller iPAD,4,128.0,128.0
49208645,6008,10990.0,11065.0,2018-11-16 16:43:54,2018-11-16 16:56:15,CLOSED,Tiller iPAD,1,9.9,9.9
50451573,6008,10990.0,11065.0,2018-11-27 18:57:58,2018-11-27 18:58:59,CLOSED,Tiller iPAD,1,25.0,25.0
50451883,730,1095.0,754.0,2018-11-27 19:01:28,2018-11-27 19:06:29,CLOSED,Tiller iPAD,1,28.8,28.8
50454421,351,461.0,128.0,2018-11-27 19:17:04,2018-11-27 21:18:41,CLOSED,Tiller iPAD,2,55.0,55.0
1904545,2035,2753.0,716.0,2016-07-07 17:28:36,2016-07-07 18:05:32,CLOSED,Tiller iPAD,0,27.0,27.0
19691004,2035,2752.0,5949.0,2018-01-20 18:23:38,2018-01-20 19:08:46,CLOSED,Tiller iPAD,2,47.85,47.85
19702583,1513,2464.0,424.0,2018-01-20 19:21:43,2018-01-20 21:13:48,CLOSED,Tiller iPAD,2,49.8,49.8
21385338,2035,2753.0,5949.0,2018-02-15 11:53:42,2018-02-15 12:45:43,CLOSED,Tiller iPAD,5,111.1,111.1
95904308,6827,14302.0,13022.0,2019-10-03 11:17:30,2019-10-03 11:20:04,CLOSED,Tiller iPAD,1,54.0,54.0
65244054,8291,16823.0,15747.0,2019-03-26 12:45:35,2019-03-26 12:45:39,CLOSED,Tiller iPAD,1,9.9,9.9
134994431,6827,14302.0,13022.0,2020-07-27 20:00:12,2020-07-27 20:01:31,CLOSED,Tiller order,1,62.0,62.0
115763520,8291,17650.0,15758.0,2020-01-31 12:11:16,2020-01-31 12:11:30,CLOSED,Tiller order,1,9.9,9.9
37554932,2035,2752.0,5949.0,2018-08-04 18:23:47,2018-08-04 18:38:24,CLOSED,Tiller iPAD,0,14.3,14.3
3672152,2035,2753.0,3063.0,2016-11-05 19:44:31,2016-11-05 19:45:04,CLOSED,Tiller iPAD,0,1.2,1.2
4103400,2035,2752.0,3063.0,2016-11-29 19:24:02,2016-11-29 19:24:14,CLOSED,Tiller iPAD,0,2.4,2.4
21602791,2035,2753.0,5949.0,2018-02-17 18:33:30,2018-02-17 19:41:50,CLOSED,Tiller iPAD,2,36.5,36.5
52738403,6008,10990.0,11065.0,2018-12-16 10:33:13,2018-12-16 10:33:29,CLOSED,Tiller iPAD,1,9.9,9.9
116809466,8291,17650.0,15758.0,2020-02-06 11:41:41,2020-02-06 11:42:05,CLOSED,Tiller order,1,10.9,10.9
116809583,5210,9270.0,9251.0,2020-02-06 11:41:58,2020-02-06 13:26:08,CLOSED,Tiller iPAD,2,51.6,51.6
118083886,2035,2753.0,5949.0,2020-02-13 11:48:02,2020-02-13 12:30:07,CLOSED,Tiller iPAD,2,13.9,13.9
38353338,730,1095.0,754.0,2018-08-13 17:50:53,2018-08-13 19:10:22,CLOSED,Tiller iPAD,2,61.5,61.5
5705085,730,1095.0,754.0,2017-02-13 18:49:08,2017-02-13 19:15:02,CLOSED,Tiller iPAD,2,17.05,17.05
5706814,1513,2464.0,424.0,2017-02-13 21:01:36,2017-02-13 21:18:35,CLOSED,Tiller iPAD,2,61.4,61.4
5801079,2035,2753.0,3063.0,2017-02-17 12:14:52,2017-02-17 13:03:52,CLOSED,Tiller iPAD,4,63.0,63.0
6653607,351,461.0,128.0,2017-03-21 10:38:44,2017-03-21 10:38:57,CLOSED,Tiller iPAD,1,45.0,45.0
99699375,2035,2752.0,5949.0,2019-10-24 16:42:30,2019-10-24 16:42:41,CLOSED,Tiller iPAD,0,4.4,4.4
100529424,8291,16823.0,15747.0,2019-10-29 12:23:08,2019-10-29 12:23:36,CLOSED,Tiller iPAD,1,15.2,15.2
24627967,4803,8257.0,8270.0,2018-03-29 11:10:30,2018-03-29 11:54:59,CLOSED,Tiller iPAD,1,25.0,25.0
68902523,8291,16823.0,15758.0,2019-04-19 11:02:57,2019-04-19 11:04:49,CLOSED,Tiller iPAD,1,17.7,17.7
54648483,5498,10627.0,10214.0,2019-01-04 18:49:09,2019-01-04 21:12:46,CLOSED,Tiller iPAD,3,141.0,141.0
8253310,1513,2464.0,424.0,2017-05-11 19:37:45,2017-05-11 20:23:05,CLOSED,Tiller iPAD,2,32.0,32.0
8599763,730,1095.0,757.0,2017-05-20 20:50:14,2017-05-20 20:51:39,CLOSED,Tiller iPAD,4,62.5,62.5
9265998,360,472.0,129.0,2017-06-07 18:08:53,2017-06-07 21:30:54,CLOSED,Tiller iPAD,2,132.0,132.0
9517258,2035,2752.0,3063.0,2017-06-14 09:16:22,2017-06-14 09:17:00,CLOSED,Tiller iPAD,0,1.2,1.2
122531461,6008,10991.0,11065.0,2020-03-08 11:55:18,2020-03-08 11:55:35,CLOSED,Tiller order,1,63.0,63.0
69642243,351,461.0,128.0,2019-04-24 18:54:11,2019-04-24 19:04:11,CLOSED,Tiller iPAD,9,306.5,306.5
70649595,6830,12894.0,13026.0,2019-05-01 18:52:16,2019-05-01 18:54:03,CLOSED,Tiller iPAD,2,49.84,49.84
141205648,8291,16823.0,15760.0,2020-09-08 11:00:22,2020-09-08 11:00:51,CLOSED,Tiller order,1,15.9,15.9
10375847,351,461.0,128.0,2017-07-04 18:55:19,2017-07-04 20:22:39,CLOSED,Tiller iPAD,2,69.0,69.0
57304068,1513,2464.0,424.0,2019-01-26 19:04:02,2019-01-26 19:26:38,CLOSED,Tiller iPAD,2,44.0,44.0
58370500,1513,2464.0,424.0,2019-02-04 19:57:49,2019-02-04 20:34:25,CLOSED,Tiller iPAD,2,37.8,37.8
58860448,8291,16823.0,15747.0,2019-02-08 12:32:24,2019-02-08 12:33:59,CLOSED,Tiller iPAD,1,28.7,28.7
59462366,7786,15509.0,14854.0,2019-02-13 09:43:34,2019-02-13 09:51:15,CLOSED,Tiller iPAD,1,17.2,17.2
144623311,4196,13318.0,6153.0,2020-09-29 10:46:55,2020-09-29 12:00:10,CLOSED,Tiller order,4,284.5,284.5
