id_pay,id_order,dim_status,dim_type,m_amount,date_created
51132874,37856999,ACCEPTED,CB_SANS_CONTACT,16.1,2018-08-08 12:17:22
29021533,20355020,ACCEPTED,CB_SANS_CONTACT,13.9,2018-01-31 12:49:26
180172825,143751020,ACCEPTED,CB_SANS_CONTACT,25.3,2020-09-23 12:51:19
114043888,88950069,ACCEPTED,AMERICAN_EXPRESS,75.6,2019-08-24 19:31:05
32433714,22894007,ACCEPTED,BANK_TRANSFER,66.0,2018-03-08 14:00:10
27991201,19553878,ACCEPTED,BANK_CHECK,44.0,2018-01-18 20:52:49
75650068,57499061,ACCEPTED,BANK_CHECK,840.1,2019-01-28 17:49:28
144498285,113883716,ACCEPTED,VOUCHER,-1.3,2020-01-20 12:14:22
115258735,89950217,ACCEPTED,SUMUP,23.5,2019-08-30 21:08:28
40764122,29576034,ACCEPTED,CB_SANS_CONTACT,16.7,2018-05-23 11:47:06
72283083,54788796,ACCEPTED,AUTRES,86.0,2019-01-05 21:25:07
77434370,58952018,ACCEPTED,CB_SANS_CONTACT,14.5,2019-02-08 21:19:41
42998198,31386302,ACCEPTED,BANK_CHECK,300.0,2018-06-09 19:46:59
45317775,33242656,ACCEPTED,BANK_CHECK,343.9,2018-06-27 11:36:24
183831855,146793499,ACCEPTED,CB_SANS_CONTACT,28.45,2020-10-13 18:59:03
1221634,835290,ACCEPTED,BANK_CHECK,29.5,2016-03-16 20:48:45
6517921,4390416,ACCEPTED,BANK_CHECK,27.5,2016-12-12 22:01:40
154956073,122441404,ACCEPTED,CB_SANS_CONTACT,15.8,2020-03-07 19:52:30
4835058,3387309,ACCEPTED,AMERICAN_EXPRESS,312.0,2016-10-21 12:24:56
155768122,123044627,ACCEPTED,CB_SANS_CONTACT,27.5,2020-03-11 22:01:09
151651330,119704186,ACCEPTED,CB_SANS_CONTACT,22.75,2020-02-21 21:32:14
156065881,123313552,ACCEPTED,VOUCHER,-8.2,2020-03-13 11:20:04
6372850,4300050,ACCEPTED,BANK_CHECK,21.15,2016-12-08 21:22:03
161891805,128445333,ACCEPTED,CARTE_TICKET_RESTAURANT,38.0,2020-06-17 10:46:04
21706409,14904555,ACCEPTED,AMERICAN_EXPRESS,13.9,2017-10-18 12:17:58
68092636,51359865,ACCEPTED,CB_SANS_CONTACT,17.2,2018-12-05 12:53:53
23621060,16197641,ACCEPTED,CARTE TICKET RESTAURANT,13.9,2017-11-14 12:52:31
48508186,35784144,ACCEPTED,BANK_CHECK,46.0,2018-07-19 12:35:03
59794626,44658088,ACCEPTED,CB_SANS_CONTACT,14.5,2018-10-09 11:22:04
163430072,129724438,ACCEPTED,BANK_CHECK,50.0,2020-06-25 16:09:57
